generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1756510792-5kV1e1nRbb6PD2Zv7Q0Z,2025-08-29 23:39:52.266,0.084836,,-0.01152,0,0,81642,37973,24512,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,467264,26928,Kilo Code,
gen-1756510734-3yV464ZLjsJX1yNdtFAv,2025-08-29 23:38:54.236,0.009126,,-0.011376,0,0,51281,3841,3648,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,55733,9582,Kilo Code,
gen-1756510697-VbDjjDYsAElaQK40cDUr,2025-08-29 23:38:17.194,0.007016,,-0.010224,0,0,50616,2293,2176,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,35150,13766,Kilo Code,
gen-1756510666-i1U2aRcPin4EqHPfylwu,2025-08-29 23:37:46.922,0.004699,,-0.01008,0,0,45575,1693,1600,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,28357,4756,Kilo Code,
gen-1756510638-lTbkcLpmVrF8evsUhwrm,2025-08-29 23:37:18.480,0.009828,,-0.005212,0,0,44964,1900,1792,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,26692,7845,Kilo Code,
gen-1756510610-e0EKPn452rhTk76UnjHD,2025-08-29 23:36:50.342,0.003776,,-0.005068,0,0,23260,1515,1408,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,26004,17071,Kilo Code,
gen-1756510597-K6z44eopHrOqkaCZz6te,2025-08-29 23:36:37.170,0.002964,,-0.004176,0,0,22680,735,640,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,11305,9304,Kilo Code,
gen-1756510552-XslikKBQoNGzhoHcqDQV,2025-08-29 23:35:52.813,0.024024,,,0,0,73169,2866,2240,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,41245,6082,Kilo Code,
gen-1756510312-3VBcRXi5c1FV3Fjpezka,2025-08-29 23:31:52.080,0.016064,,-0.017568,0,0,81208,6665,5696,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,90815,15232,Kilo Code,
gen-1756510268-qjDTsb1eyMCvPUVNqZz1,2025-08-29 23:31:08.815,0.007288,,-0.017337,0,0,78215,2536,2432,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,36772,4663,Kilo Code,
gen-1756510217-vABcve3Rgtzq88RvyLgq,2025-08-29 23:30:17.673,0.008949,,-0.017107,0,0,77124,3388,3264,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,46150,7102,Kilo Code,
gen-1756510158-VDkRLtGmhhZrmYLPcsYU,2025-08-29 23:29:18.407,0.009477,,-0.016819,0,0,76074,3639,3520,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,53949,6764,Kilo Code,
gen-1756510094-NvneWssC38mAmpWXP2QV,2025-08-29 23:28:14.560,0.010804,,-0.015753,0,0,74913,3915,3712,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,56693,6687,Kilo Code,
gen-1756510071-EaPLQwA0munksvHkhib6,2025-08-29 23:27:51.543,0.004877,,-0.014803,0,0,70091,1079,1024,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,20244,18553,Kilo Code,
gen-1756509980-9wyOR9EmuzD97ql35hwo,2025-08-29 23:26:20.314,0.02233,,-0.006537,0,0,65897,6197,6016,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,88714,8569,Kilo Code,
gen-1756509964-5QgfjD0KpZ5mMIreswOH,2025-08-29 23:26:04.433,0.004606,,-0.004176,0,0,29113,752,640,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,12130,10358,Kilo Code,
gen-1756509609-VGqVUm46uLu5xfI7YwMu,2025-08-29 23:20:09.563,0.057453,,-0.00504,0,0,57725,24031,18496,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,321847,12222,Kilo Code,
gen-1756509574-rg7nT3gCedUQrQo80MuA,2025-08-29 23:19:34.129,0.009075,,,0,0,22502,1725,1600,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,24179,22969,Kilo Code,
gen-1756509546-Wj9Ub7Vkq23zy1iVJKrB,2025-08-29 23:19:06.748,0.0074,,,0,0,15040,1820,1280,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,24506,4337,Kilo Code,
gen-1756509499-gYlfGjUlOBTfsEVUdHxf,2025-08-29 23:18:19.280,0.010052,,,0,0,14066,3268,2944,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,45558,7175,Kilo Code,
gen-1756509306-x0OOKHozsuptMQ0EVYI2,2025-08-29 23:15:06.468,0.008038,,-0.012384,0,0,58336,2919,2496,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,45969,32081,Kilo Code,
gen-1756509198-GsmP51W4rYrEyS9WobwC,2025-08-29 23:13:18.119,0.027221,,,0,0,55148,6717,4096,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,98417,28651,Kilo Code,
gen-1756508892-HiEC0pXjA3FpD0QpvwZ0,2025-08-29 23:08:12.845,0.034075,,,0,0,57061,9905,4864,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,136448,26304,Kilo Code,
gen-1756507925-LU79X98SyQOyD8XJIBdx,2025-08-29 22:52:05.585,0.006536,,-0.008409,0,0,43449,2042,1984,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,35159,21720,Kilo Code,
gen-1756507899-X1X1LVYuw9sEzva0Ljkv,2025-08-29 22:51:39.790,0.005408,,-0.007084,0,0,37444,1566,1344,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,23187,8680,Kilo Code,
gen-1756507871-LVtlijcCHdbkPB9J8xDv,2025-08-29 22:51:11.459,0.005462,,-0.005817,0,0,31642,1685,1472,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,25810,14238,Kilo Code,
gen-1756507856-zQsIryeZc8XF3WqL5SaQ,2025-08-29 22:50:56.275,0.002558,,-0.005155,0,0,25911,618,512,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,10904,5377,Kilo Code,
gen-1756507823-z2Te0okzkQJyiswkrfdk,2025-08-29 22:50:23.493,0.009643,,,0,0,23069,1938,1792,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,28558,15367,Kilo Code,
gen-1756507748-GkvUrWBhEUJAogE0w07A,2025-08-29 22:49:08.747,0.009529,,-0.006019,0,0,27690,4313,3264,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,72015,11281,Kilo Code,
gen-1756507704-CwHZD83AnBAqBVuVsNpE,2025-08-29 22:48:24.855,0.005721,,-0.005846,0,0,26801,2434,2240,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,42351,8275,Kilo Code,
gen-1756507620-B1dJ3S4cSmOQcKqiZVMl,2025-08-29 22:47:00.796,0.004629,,-0.005184,0,0,24198,1882,0,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,36014,2451,Kilo Code,
gen-1756507564-pTJ9gNg44o4RNpFrveUc,2025-08-29 22:46:04.285,0.00773,,-0.004003,0,0,23134,2975,2560,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,52629,26748,Kilo Code,
gen-1756507390-0dIn4bP8IcDvT1r1HYe3,2025-08-29 22:43:10.307,0.024115,,-0.00671,0,0,31102,11525,9728,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,169456,13102,Kilo Code,
gen-1756507327-8K8HqgsvIVEkREfT5EbA,2025-08-29 22:42:07.832,0.009464,,-0.006422,0,0,29972,4197,3648,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,56666,5066,Kilo Code,
gen-1756507113-dgmXcCrrObf5y3LKTmWx,2025-08-29 22:38:33.687,0.030535,,-0.005126,0,0,28671,14247,13376,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,209474,24720,Kilo Code,
gen-1756507098-7yEG1pti5coz73gwRZz4,2025-08-29 22:38:18.657,0.002221,,-0.004176,0,0,22847,343,256,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,13170,5105,Kilo Code,
gen-1756507031-z4Vonfa2y4OFLRKuQmkQ,2025-08-29 22:37:11.207,0.009224,,-0.003312,0,0,17890,4032,3008,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,64595,4970,Kilo Code,
gen-1756506977-cpfhEFu4IQQyCmhkTl9V,2025-08-29 22:36:17.604,0.008518,,-0.005644,0,0,25988,3833,3456,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,49417,11835,Kilo Code,
gen-1756506916-3TQ8IsnVH7ECRCqtLVTj,2025-08-29 22:35:15.910,0.009458,,-0.005068,0,0,25157,4119,3904,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,56371,25570,Kilo Code,
gen-1756506903-JnEF0E1XzuxQwIaL8wxG,2025-08-29 22:35:03.726,0.00234,,-0.004176,0,0,22666,425,192,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,10951,8076,Kilo Code,
gen-1756506838-NoBVJz5BBvBRqPBN7XCf,2025-08-29 22:33:58.501,0.011572,,,0,0,14794,3937,3200,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,62370,11894,Kilo Code,
gen-1756506765-xupUl9r8AbV0xezRsmYX,2025-08-29 22:32:45.324,0.014174,,,0,0,13891,5351,5056,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,71709,23690,Kilo Code,
