generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1761748769-5IjSFHflAZ4j56PQzDYy,2025-10-29 14:39:29.517,0.00583,,-0.01351,0,0,95215,595,196,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,4635,2682,Kilo Code,
gen-1761748760-8rYcfrqdlciRI6e5gbqx,2025-10-29 14:39:20.902,0.00415,,-0.004212,0,0,40033,712,398,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,4266,3533,Kilo Code,
gen-1761748721-xMXbKbnBbOM8hcnGnYdJ,2025-10-29 14:38:41.743,0.011582,,-0.000022,0,0,28089,11974,768,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,33572,4174,Kilo Code,
gen-1761748714-ZQscIg9IgEZvHaD4PIj5,2025-10-29 14:38:34.257,0.003608,,-0.000022,0,0,16417,695,654,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,4346,4271,Kilo Code,
gen-1761748703-MQNQfSOe5IXwznxJAavF,2025-10-29 14:38:22.917,0.00626,,-0.012522,0,0,91872,818,272,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,6532,4213,Kilo Code,
gen-1761748593-mRK4bYyuFammcJItL13e,2025-10-29 14:36:33.959,0.005121,,-0.013249,0,0,90074,712,337,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,4877,3037,Kilo Code,
gen-1761748586-qXJ68J2CUbLug2VF0qAN,2025-10-29 14:36:26.669,0.0065,,-0.011472,0,0,88336,611,266,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,5362,4166,Kilo Code,
gen-1761748567-RZO8s8q39WZbeXrFcTrS,2025-10-29 14:36:07.906,0.010385,,-0.000022,0,0,46720,2129,618,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,13500,5666,Kilo Code,
gen-1761748561-Y52FczUHSbVRUZj9MhT2,2025-10-29 14:36:01.192,0.004672,,-0.002604,0,0,35006,553,512,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,3818,3796,Kilo Code,
gen-1761748550-xe06icpXRva7hvJEuS3t,2025-10-29 14:35:50.042,0.003863,,-0.000022,0,0,17371,824,751,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,3618,3467,Kilo Code,
gen-1761748536-nTqfanQ3RaoOlP0uMMsS,2025-10-29 14:35:36.312,0.017156,,-0.000022,0,0,83489,963,304,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,9935,6369,Kilo Code,
