generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1757810894-2pAMhSg9FFiYQzyzcUSg,2025-09-14 00:48:14.142,0.004368,,,,0,4929,1568,384,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,f4cd2379-be19-4d6a-b592-45a46553cdee,completed,stop,25966,4672,Dify.AI,
gen-1757810880-VmaS6Ctf6ig0Umvkaifu,2025-09-14 00:48:00.224,0.002346,,,,0,2579,851,832,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,f4cd2379-be19-4d6a-b592-45a46553cdee,completed,stop,13141,8554,Dify.AI,
gen-1757810867-DE3FSIvLB7KqNgycdl2k,2025-09-14 00:47:47.548,0.001525,,,,0,157,743,704,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,f4cd2379-be19-4d6a-b592-45a46553cdee,completed,stop,10561,10371,Dify.AI,
gen-1757810825-ZmtYFHpEeTKzrfTi62pP,2025-09-14 00:47:05.753,0.006317,,,,0,140,3141,1856,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,f4cd2379-be19-4d6a-b592-45a46553cdee,completed,stop,40679,13584,Dify.AI,
gen-1757810032-sXJlq1DX2alEQpqt88ag,2025-09-14 00:33:52.610,0.000004,,,0,0,8,5,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,length,length,33,284,,
gen-1757566146-ZTtepAfTaXUlTmbfgDEQ,2025-09-11 04:49:06.446,0.008423,,,,0,24751,1118,1024,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,63585,20780,Kilo Code,
gen-1757520890-ASYYTTHApkrejFsoskxb,2025-09-10 16:14:50.618,0.017813,,-0.00815,,0,43687,7521,7296,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,105817,44698,Kilo Code,
gen-1757520859-rsk4CbMHJBQTbmpbNMUx,2025-09-10 16:14:19.772,0.012689,,,,0,40133,1328,1216,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,28997,27452,Kilo Code,
gen-1757520835-KLvFi47w6N46BM8BN4AC,2025-09-10 16:13:55.830,0.003558,,-0.00599,,0,27973,1278,1152,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,20946,19317,Kilo Code,
gen-1757520774-80rSMsKuU50tNtfKuboP,2025-09-10 16:12:54.455,0.010468,,,,0,26704,1896,1792,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,59358,57399,Kilo Code,
gen-1757520390-wtLjqoftgzPYneYpShoD,2025-09-10 16:06:30.194,0.006642,,-0.007516,,0,36317,2540,2304,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,54917,7425,Kilo Code,
gen-1757520109-rwFik1U6hsUkcWdZzRQG,2025-09-10 16:01:49.433,0.012742,,-0.006883,,0,33565,5617,3840,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,83424,12893,Kilo Code,
gen-1757519971-EwNuEJVoehVCm4ytC8Wo,2025-09-10 15:59:31.628,0.025522,,,,0,30697,8924,7168,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,124964,22634,Kilo Code,
gen-1757519904-Px6AWJYOmRTqEMJcRGEN,2025-09-10 15:58:24.035,0.006145,,-0.003456,,0,18580,2478,2368,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,52785,7279,Kilo Code,
gen-1757519540-DX9auKbuiMqrebUfhA0I,2025-09-10 15:52:20.850,0.018979,,-0.00311,,0,15521,9105,7168,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,171034,9655,Kilo Code,
gen-1757519258-Abl0uGbqW6ynEuyMv6hz,2025-09-10 15:47:38.862,0.012167,,,,0,13908,4345,3904,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,95730,10070,Kilo Code,
gen-1757475917-4LGDQZVCxJg8UUrL1W7C,2025-09-10 03:45:16.971,0.013468,,-0.018576,,0,84817,5420,4736,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,96106,3957,Kilo Code,
gen-1757475843-83Rhj9LtLuznOJmdnqxT,2025-09-10 03:44:03.872,0.031146,,,,0,82610,5247,4416,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,69836,50481,Kilo Code,
gen-1757475737-Zv71mkAl9a7HAXfI7yAF,2025-09-10 03:42:17.551,0.0159,,-0.015235,,0,69102,6930,5504,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,101895,21067,Kilo Code,
gen-1757475630-Av0rBF0tOZ1goUEoqf9H,2025-09-10 03:40:30.388,0.014037,,-0.014832,,0,67781,5962,5504,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,92720,23526,Kilo Code,
gen-1757475530-3DQCFAGDMQRhF1WteEoy,2025-09-10 03:38:50.296,0.014028,,-0.01414,,0,66045,5829,4928,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,85136,20380,Kilo Code,
gen-1757475319-dqbCG9QhX1J5WjMBvJZ0,2025-09-10 03:35:19.860,0.028727,,-0.013737,,0,62998,13358,11136,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,195596,12594,Kilo Code,
gen-1757475218-3bbovydyeRBN0XqpTaZF,2025-09-10 03:33:38.466,0.01991,,-0.007603,,0,61214,6105,5184,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,97674,10985,Kilo Code,
gen-1757474971-1CtXCimh0BaTvc0eCWWP,2025-09-10 03:29:30.925,0.041284,,,,0,59937,13150,12736,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,231983,19582,Kilo Code,
gen-1757474947-ETNa4pkOrhi0VjNvc3he,2025-09-10 03:29:07.930,0.004957,,-0.005731,,0,33905,1106,960,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,21137,19244,Kilo Code,
gen-1757474896-uKWfgmf5teGilZtqIkCp,2025-09-10 03:28:16.180,0.008954,,-0.003916,,0,25566,3240,3072,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,49955,4531,Kilo Code,
gen-1757474772-tknmtFkMO4yDrewleZae,2025-09-10 03:26:12.772,0.031152,,,,0,75833,6097,4672,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,109479,14172,Kilo Code,
gen-1757474484-C7vvPn03xmh5Nqhrtfbv,2025-09-10 03:21:24.221,0.011612,,-0.018432,,0,83595,4573,4096,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,116906,100664,Kilo Code,
gen-1757474396-tHfnJdobxBCdfR2oCSXO,2025-09-10 03:19:56.232,0.010519,,-0.018086,,0,82046,4047,3328,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,83913,31938,Kilo Code,
gen-1757474319-WVVA8TPp37epMqzXfY2g,2025-09-10 03:18:39.068,0.027828,,,,0,80427,3861,3072,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,73709,30410,Kilo Code,
gen-1757474249-pZMv3vuCqrVDtLqtL3HL,2025-09-10 03:17:29.461,0.01,,-0.017222,,0,78850,3755,3008,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,65875,10124,Kilo Code,
gen-1757474111-JayPdbIJAeapy5xGhbce,2025-09-10 03:15:11.162,0.019513,,-0.016272,,0,76614,8316,6912,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,125181,19214,Kilo Code,
gen-1757474072-1SAF1pYF862uCmds3DY6,2025-09-10 03:14:32.326,0.005241,,-0.015926,,0,72440,1529,1344,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,25614,16665,Kilo Code,
gen-1757474049-lZHv9xIdB1OQ2m3ZPhJ8,2025-09-10 03:14:08.853,0.005183,,-0.015724,,0,71619,1502,1408,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,21274,20536,Kilo Code,
gen-1757474000-67EF19Y2zMIsEyiBzjUx,2025-09-10 03:13:20.298,0.01403,,-0.00792,,0,70833,2121,2048,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,34923,5986,Kilo Code,
gen-1757473976-MBiscLkgXbmWkeQEiaXy,2025-09-10 03:12:56.330,0.020462,,,,0,70035,1477,1408,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,21568,20662,Kilo Code,
gen-1757473945-Vch46Ty0M4H6Gpb1DyDL,2025-09-10 03:12:25.870,0.005642,,-0.007142,,0,35316,1978,1792,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,28336,6167,Kilo Code,
gen-1757473930-5tei2edBgam9dgfeaamQ,2025-09-10 03:12:10.514,0.009156,,,,0,31800,603,512,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,12197,11873,Kilo Code,
gen-1757473846-Zc4XxEnGhqR4vevAkLYw,2025-09-10 03:10:46.640,0.011363,,-0.003888,,0,20245,5095,4416,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,70028,23377,Kilo Code,
gen-1757473209-ohZx0VGlc4dIK1vjzZFk,2025-09-10 03:00:09.053,0.017573,,-0.003456,,0,17397,8340,7360,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,155353,12057,Kilo Code,
gen-1757473170-QIHqNOkHLQmELB7czryh,2025-09-10 02:59:30.722,0.007252,,,,0,15450,1695,1600,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,25701,23342,Kilo Code,
gen-1757472985-tLk1UtcaHsVxc0tiQFOg,2025-09-10 02:56:25.383,0.022704,,-0.010108,,0,89238,5252,4416,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,71060,6034,Kilo Code,
gen-1757472850-bXUYDS6kCA80dwflyQHR,2025-09-10 02:54:10.601,0.017445,,-0.018633,,0,87715,7075,6464,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,119124,12583,Kilo Code,
gen-1757472826-q1Nn8zJKmEuc800gbhPl,2025-09-10 02:53:46.236,0.02312,,,,0,84937,943,896,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,21702,9799,Kilo Code,
gen-1757472531-MikBYBBk6YQp45tXtRLg,2025-09-10 02:48:51.075,0.039735,,,,0,82966,9497,8256,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,167765,41939,Kilo Code,
gen-1757472486-Lo7YRup8EhjO6kukZdT9,2025-09-10 02:48:06.539,0.007191,,-0.015379,,0,74290,1999,1792,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,31780,14993,Kilo Code,
gen-1757472450-bsBHmBIqYCQTZQVzHGKh,2025-09-10 02:47:30.210,0.011766,,-0.009849,,0,68482,2248,1984,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,33317,4493,Kilo Code,
gen-1757472404-hVSm5RiNO3yDp0IRHGjj,2025-09-10 02:46:44.245,0.015791,,,,0,45015,2269,2112,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,43908,25238,Kilo Code,
gen-1757472200-8IXVEx6EWqdMQZiTW19m,2025-09-10 02:43:20.033,0.011124,,-0.008755,,0,43830,4461,4160,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,63159,16499,Kilo Code,
gen-1757471929-4Ou7HviWlAI1iz4609ys,2025-09-10 02:38:49.802,0.038287,,-0.007315,,0,38955,17932,14016,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,265312,10483,Kilo Code,
gen-1757471891-Hh6fTy15P6NAbqURXmmF,2025-09-10 02:38:11.634,0.01032,,,,0,32634,1081,960,openai/gpt-5-mini-2025-08-07,OpenAI,standard,false,true,,completed,stop,25013,21190,Kilo Code,
