generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1767827247-l2JJmIr45lIjQwykqNaI,2026-01-07 23:07:27.576,0.001148,,,0,0,3705,41,0,mistralai/codestral-2508,Mistral,standard,false,true,,stop,stop,416,279,Kilo Code,kilo_code_2026_01
gen-1767827246-nVaK4V60q41D4WgSfv4m,2026-01-07 23:07:26.313,0.001118,,,0,0,3702,9,0,mistralai/codestral-2508,Mistral,standard,false,true,,tool_calls,tool_calls,316,284,Kilo Code,kilo_code_2026_01
gen-1767827165-Yo97421Ch8PX1oHbbK5P,2026-01-07 23:06:05.121,0.001248,,,0,0,3584,192,0,mistralai/codestral-2508,Mistral,standard,false,true,,stop,stop,883,281,Kilo Code,kilo_code_2026_01
gen-1767827163-W5OQkRcvqfqTmLfEWOBl,2026-01-07 23:06:03.995,0.001152,,,0,0,3585,85,0,mistralai/codestral-2508,Mistral,standard,false,true,,stop,stop,682,298,Kilo Code,kilo_code_2026_01
gen-1767827162-Zuvp1Ult8FJJh0VflvuS,2026-01-07 23:06:01.997,0.00126,,,0,0,3948,85,0,mistralai/codestral-2508,Mistral,standard,false,true,,stop,stop,547,299,Kilo Code,kilo_code_2026_01
gen-1767827160-EvwV8mcMScsQVIhALnwE,2026-01-07 23:06:00.512,0.001766,,,0,0,3804,695,0,mistralai/codestral-2508,Mistral,standard,false,true,,stop,stop,2629,305,Kilo Code,kilo_code_2026_01
gen-1767826926-pg8Q1RYXxE0c9ZMwpa35,2026-01-07 23:02:06.322,0.001514,,,0,0,3642,469,0,mistralai/codestral-2508,Mistral,standard,false,true,,stop,stop,2310,300,Kilo Code,kilo_code_2026_01
gen-1767826559-nmLGejfqsVP748x1DKvc,2026-01-07 22:55:59.001,0.001337,,,0,0,3930,176,0,mistralai/codestral-2508,Mistral,standard,false,true,,stop,stop,1321,340,Kilo Code,kilo_code_2026_01
gen-1767826045-sydWN8SitnD9q8zRfeL7,2026-01-07 22:47:25.143,0.00104,,,0,0,3010,153,0,mistralai/codestral-2508,Mistral,standard,false,true,,stop,stop,1290,294,Kilo Code,kilo_code_2026_01
gen-1767826044-51OXGfnIiMoa6cL0seUv,2026-01-07 22:47:23.967,0.000914,,,0,0,3007,14,0,mistralai/codestral-2508,Mistral,standard,false,true,,stop,stop,318,278,Kilo Code,kilo_code_2026_01
gen-1767825835-vpFRXtBdPSpnlBMHCwvy,2026-01-07 22:43:55.084,0.000998,,,0,0,2324,335,0,mistralai/codestral-2508,Mistral,standard,false,true,,stop,stop,1621,298,Kilo Code,kilo_code_2026_01
gen-1767825833-f0R9c09DHFsMivyp59sU,2026-01-07 22:43:53.403,0.000703,,,0,0,2322,8,0,mistralai/codestral-2508,Mistral,standard,false,true,,stop,stop,396,272,Kilo Code,kilo_code_2026_01
gen-1767825587-VWLiychAosPxECifEFPj,2026-01-07 22:39:47.578,0.001025,,,0,0,2211,402,0,mistralai/codestral-2508,Mistral,standard,false,true,,stop,stop,1947,281,Kilo Code,kilo_code_2026_01
gen-1767825586-VqtS3f9Wp02R4gZvC7ze,2026-01-07 22:39:46.306,0.00098,,,0,0,2212,352,0,mistralai/codestral-2508,Mistral,standard,false,true,,stop,stop,1810,291,Kilo Code,kilo_code_2026_01
gen-1767824908-CvXfi0w1sj7u39OfGuEF,2026-01-07 22:28:28.100,0.001489,,,0,0,2891,691,0,mistralai/codestral-2508,Mistral,standard,false,true,,stop,stop,3218,373,Kilo Code,kilo_code_2026_01
gen-1767824903-UsSLnHDZKlkvEnjPYvQV,2026-01-07 22:28:23.682,0.002185,,,0,0,2891,1465,0,mistralai/codestral-2508,Mistral,standard,false,true,,stop,stop,5591,267,Kilo Code,kilo_code_2026_01
gen-1767824579-sZHT6NooXyXVunYj74QI,2026-01-07 22:22:59.187,0.041758,,,0,0,2402,45598,0,mistralai/codestral-2508,Mistral,standard,false,true,,,,239570,299,Kilo Code,kilo_code_2026_01
gen-1767824578-VHqMiSuIVlCfSQEJItuK,2026-01-07 22:22:58.454,0.001065,,,0,0,2955,199,0,mistralai/codestral-2508,Mistral,standard,false,true,,stop,stop,1482,254,Kilo Code,kilo_code_2026_01
gen-1767824577-DnA8gQ9BB3patiiegv3u,2026-01-07 22:22:57.670,0.000918,,,0,0,2951,37,0,mistralai/codestral-2508,Mistral,standard,false,true,,stop,stop,458,250,Kilo Code,kilo_code_2026_01
gen-1767824576-sNPoILbRJxFlzf2a5akn,2026-01-07 22:22:56.616,0.000918,,,0,0,2951,37,0,mistralai/codestral-2508,Mistral,standard,false,true,,stop,stop,504,259,Kilo Code,kilo_code_2026_01
gen-1767824574-vRrlFVUPI0YSysAYnkK9,2026-01-07 22:22:54.391,0.000937,,,0,0,2945,60,0,mistralai/codestral-2508,Mistral,standard,false,true,,stop,stop,507,263,Kilo Code,kilo_code_2026_01
gen-1767824568-ZChNtLY2LKnPILLwn8qt,2026-01-07 22:22:48.523,0.000894,,,0,0,2943,13,0,mistralai/codestral-2508,Mistral,standard,false,true,,stop,stop,390,259,Kilo Code,kilo_code_2026_01
